id;es_text;mood;tense;verb;pronoun;fr_text;audio_url;conj_fr;conj_es;valid
940875;Comed tanto como queráis.;Impératif;Affirmatif;comer;vosotros;Mangez autant que vous voulez.;https://audio.tatoeba.org/sentences/spa/940875.mp3;mangez !;comed;1
2473174;Comed más verdura.;Impératif;Affirmatif;comer;vosotros;Mangez plus de légumes.;https://audio.tatoeba.org/sentences/spa/2473174.mp3;mangez !;comed;1
5947478;Comed cuanto queráis.;Impératif;Affirmatif;comer;vosotros;Mangez autant que vous voulez.;https://audio.tatoeba.org/sentences/spa/5947478.mp3;mangez !;comed;1
1678247;Los pájaros son tan mansos que comerán de tu mano.;Indicatif;Futur simple;comer;ellos;Les oiseaux sont si peu sauvage qu'ils mangeraient dans ta main.;https://audio.tatoeba.org/sentences/spa/1678247.mp3;ils mangeront;comerán;1
1530489;Comeremos en el camino.;Indicatif;Futur simple;comer;nosotros;Nous mangerons sur la route.;https://audio.tatoeba.org/sentences/spa/1530489.mp3;nous mangerons;comeremos;1
1719623;Comeremos fuera el viernes.;Indicatif;Futur simple;comer;nosotros;Nous sortons manger vendredi.;https://audio.tatoeba.org/sentences/spa/1719623.mp3;nous mangerons;comeremos;1
1940664;A partir de la próxima semana comeré menos.;Indicatif;Futur simple;comer;yo;À partir de la semaine prochaine, je mange moins.;https://audio.tatoeba.org/sentences/spa/1940664.mp3;je mangerai;comeré;1
2267165;Comeré algo ligero.;Indicatif;Futur simple;comer;yo;Je mangerai quelque chose de léger.;https://audio.tatoeba.org/sentences/spa/2267165.mp3;je mangerai;comeré;1
2332889;Comeré aquí.;Indicatif;Futur simple;comer;yo;Je mangerai ici.;https://audio.tatoeba.org/sentences/spa/2332889.mp3;je mangerai;comeré;1
3534011;Nunca comeré acá otra vez.;Indicatif;Futur simple;comer;yo;Je ne mangerai plus jamais ici.;https://audio.tatoeba.org/sentences/spa/3534011.mp3;je mangerai;comeré;1
5011350;Si no lo quieres, yo lo comeré.;Indicatif;Futur simple;comer;yo;Si tu n'en veux pas, je le mangerai.;https://audio.tatoeba.org/sentences/spa/5011350.mp3;je mangerai;comeré;1
551882;Ella siguió hablando en lo que comía.;Indicatif;Imparfait;comer;él;Elle ne cessait de parler tout en mangeant.;https://audio.tatoeba.org/sentences/spa/551882.mp3;il mangeait;comía;1
551884;Ella seguía hablando mientras comía.;Indicatif;Imparfait;comer;él;Elle ne cessait de parler tout en mangeant.;https://audio.tatoeba.org/sentences/spa/551884.mp3;il mangeait;comía;1
5029415;Estaba leyendo un libro mientras comía.;Indicatif;Imparfait;comer;él;J'ai lu un livre en mangeant.;https://audio.tatoeba.org/sentences/spa/5029415.mp3;il mangeait;comía;1
1157932;Comíamos mientras llorábamos.;Indicatif;Imparfait;comer;nosotros;Nous mangions en pleurant.;https://audio.tatoeba.org/sentences/spa/1157932.mp3;nous mangions;comíamos;1
6678891;¿Qué comías cuando estabas en Australia?;Indicatif;Imparfait;comer;tú;Que mangeais-tu quand tu étais en Australie ?;https://audio.tatoeba.org/sentences/spa/6678891.mp3;tu mangeais;comías;1
970945;Leí un libro mientras comía.;Indicatif;Imparfait;comer;yo;J'ai lu un livre en mangeant.;https://audio.tatoeba.org/sentences/spa/970945.mp3;je mangeais;comía;1
1831941;Vi cómo una serpiente se comía un ratón.;Indicatif;Imparfait;comer;yo;J'ai vu un serpent mangeant une souris.;https://audio.tatoeba.org/sentences/spa/1831941.mp3;je mangeais;comía;1
5029415;Estaba leyendo un libro mientras comía.;Indicatif;Imparfait;comer;yo;J'ai lu un livre en mangeant.;https://audio.tatoeba.org/sentences/spa/5029415.mp3;je mangeais;comía;1
8626336;Comía arroz.;Indicatif;Imparfait;comer;yo;J'ai mangé du riz.;https://audio.tatoeba.org/sentences/spa/8626336.mp3;je mangeais;comía;1
775701;Ya ha comido.;Indicatif;Passé composé;comer;él;Tu as déjà mangé.;https://audio.tatoeba.org/sentences/spa/775701.mp3;il a mangé;ha comido;1
800820;Me ha hecho quedar como un mentiroso.;Indicatif;Passé composé;comer;él;Il m'a fait passer pour un menteur.;https://audio.tatoeba.org/sentences/spa/800820.mp3;il a mangé;ha comido;1
831212;¿Quién se ha comido todas las galletas?;Indicatif;Passé composé;comer;él;Qui a mangé tous les cookies ?;https://audio.tatoeba.org/sentences/spa/831212.mp3;il a mangé;ha comido;1
1004731;¿Ya ha comido?;Indicatif;Passé composé;comer;él;Est-ce que vous avez déjà mangé ?;https://audio.tatoeba.org/sentences/spa/1004731.mp3;il a mangé;ha comido;1
1369874;Él ha comido arroz dos veces al día durante muchos años.;Indicatif;Passé composé;comer;él;Il a mangé du riz deux fois par jour pendant de nombreuses années.;https://audio.tatoeba.org/sentences/spa/1369874.mp3;il a mangé;ha comido;1
1642596;No me ha dado tiempo a comer.;Indicatif;Passé composé;comer;él;Je n'ai pas eu le temps de manger.;https://audio.tatoeba.org/sentences/spa/1642596.mp3;il a mangé;ha comido;1
1678696;¿Se te ha comido la lengua el gato?;Indicatif;Passé composé;comer;él;T'as perdu ta langue ?;https://audio.tatoeba.org/sentences/spa/1678696.mp3;il a mangé;ha comido;1
1832074;¿Tom ha comido ya?;Indicatif;Passé composé;comer;él;Tom a-t-il déjà mangé ?;https://audio.tatoeba.org/sentences/spa/1832074.mp3;il a mangé;ha comido;1
1832075;¿Sabes si Tom ya ha comido?;Indicatif;Passé composé;comer;él;Sais-tu si Tom a déjà mangé ?;https://audio.tatoeba.org/sentences/spa/1832075.mp3;il a mangé;ha comido;1
2008153;¿Quién se ha comido la última galleta?;Indicatif;Passé composé;comer;él;Qui a mangé le dernier biscuit ?;https://audio.tatoeba.org/sentences/spa/2008153.mp3;il a mangé;ha comido;1
2107077;¿Sabe usted si Tom ya ha comido?;Indicatif;Passé composé;comer;él;Sais-tu si Tom a déjà mangé ?;https://audio.tatoeba.org/sentences/spa/2107077.mp3;il a mangé;ha comido;1
5724672;Tom nos ha pedido que le compremos algo para comer.;Indicatif;Passé composé;comer;él;Tom nous a demandé de lui acheter quelque chose à manger.;https://audio.tatoeba.org/sentences/spa/5724672.mp3;il a mangé;ha comido;1
6863526;Ninguno de nosotros ha comido aún.;Indicatif;Passé composé;comer;él;Aucun d'entre nous n'a encore mangé.;https://audio.tatoeba.org/sentences/spa/6863526.mp3;il a mangé;ha comido;1
1004732;¿Ya han comido?;Indicatif;Passé composé;comer;ellos;Est-ce que vous avez déjà mangé ?;https://audio.tatoeba.org/sentences/spa/1004732.mp3;ils ont mangé;han comido;1
1831905;¿Los niños ya han comido?;Indicatif;Passé composé;comer;ellos;Les enfants ont-ils déjà mangé ?;https://audio.tatoeba.org/sentences/spa/1831905.mp3;ils ont mangé;han comido;1
2268769;Se han comido todo el pastel.;Indicatif;Passé composé;comer;ellos;Ils ont mangé tout le gâteau.;https://audio.tatoeba.org/sentences/spa/2268769.mp3;ils ont mangé;han comido;1
8807182;Las conchas marinas ya se han utilizado como moneda.;Indicatif;Passé composé;comer;ellos;Les coquillages ont déjà été utilisés comme monnaie.;https://audio.tatoeba.org/sentences/spa/8807182.mp3;ils ont mangé;han comido;1
400977;Hemos abastecido a los aldeanos con comida.;Indicatif;Passé composé;comer;nosotros;Nous avons approvisionné les villageois en nourriture.;https://audio.tatoeba.org/sentences/spa/400977.mp3;nous avons mangé;hemos comido;1
652697;Nada de lo que hemos hecho hoy ha salido como lo planeamos.;Indicatif;Passé composé;comer;nosotros;Rien de ce que nous avons fait aujourd'hui ne s'est déroulé selon le plan.;https://audio.tatoeba.org/sentences/spa/652697.mp3;nous avons mangé;hemos comido;1
743613;Ahora que hemos comido, vámonos.;Indicatif;Passé composé;comer;nosotros;Maintenant que nous avons mangé, allons-y.;https://audio.tatoeba.org/sentences/spa/743613.mp3;nous avons mangé;hemos comido;1
962161;Le hemos llamado Tomás, como su abuelo.;Indicatif;Passé composé;comer;nosotros;Nous l'avons appelé Thomas comme son grand-père.;https://audio.tatoeba.org/sentences/spa/962161.mp3;nous avons mangé;hemos comido;1
1389939;Hemos encargado demasiada comida.;Indicatif;Passé composé;comer;nosotros;Nous avons trop commandé à manger.;https://audio.tatoeba.org/sentences/spa/1389939.mp3;nous avons mangé;hemos comido;1
2054944;Hemos comido huevos.;Indicatif;Passé composé;comer;nosotros;Nous mangions des œufs.;https://audio.tatoeba.org/sentences/spa/2054944.mp3;nous avons mangé;hemos comido;1
6639134;Ya hemos comido.;Indicatif;Passé composé;comer;nosotros;Nous avons déjà mangé.;https://audio.tatoeba.org/sentences/spa/6639134.mp3;nous avons mangé;hemos comido;1
7824051;No hemos comido.;Indicatif;Passé composé;comer;nosotros;Nous n'avons pas mangé.;https://audio.tatoeba.org/sentences/spa/7824051.mp3;nous avons mangé;hemos comido;1
459264;¿Todavía no has terminado de comer?;Indicatif;Passé composé;comer;tú;Tu n'as toujours pas terminé de manger ?;https://audio.tatoeba.org/sentences/spa/459264.mp3;tu as mangé;has comido;1
508523;¿Ya has dado de comer al perro?;Indicatif;Passé composé;comer;tú;Est-ce que tu as déjà donné à manger au chien ?;https://audio.tatoeba.org/sentences/spa/508523.mp3;tu as mangé;has comido;1
524309;¿Ya has comido?;Indicatif;Passé composé;comer;tú;As-tu déjà mangé ?;https://audio.tatoeba.org/sentences/spa/524309.mp3;tu as mangé;has comido;1
636838;"""¿Has comido?"" ""Sí.""";Indicatif;Passé composé;comer;tú;« As-tu mangé ? » « Oui. »;https://audio.tatoeba.org/sentences/spa/636838.mp3;tu as mangé;has comido;1
707476;¿Has comido?;Indicatif;Passé composé;comer;tú;As-tu déjà mangé ?;https://audio.tatoeba.org/sentences/spa/707476.mp3;tu as mangé;has comido;1
774412;¿Ya te has comido el pastel?;Indicatif;Passé composé;comer;tú;As-tu déjà mangé le gâteau?;https://audio.tatoeba.org/sentences/spa/774412.mp3;tu as mangé;has comido;1
795831;¡Si te gusta comer marisco, has venido al sitio adecuado!;Indicatif;Passé composé;comer;tú;Si vous aimez les fruits de mer, vous êtes à la bonne adresse !;https://audio.tatoeba.org/sentences/spa/795831.mp3;tu as mangé;has comido;1
967673;Lo haré como me has aconsejado.;Indicatif;Passé composé;comer;tú;Je ferai comme tu m'as conseillé.;https://audio.tatoeba.org/sentences/spa/967673.mp3;tu as mangé;has comido;1
1017638;¿Qué has comido?;Indicatif;Passé composé;comer;tú;Qu'est-ce que tu as mangé ?;https://audio.tatoeba.org/sentences/spa/1017638.mp3;tu as mangé;has comido;1
1068442;¿Alguna vez has comido carne de ballena?;Indicatif;Passé composé;comer;tú;Avez-vous jamais mangé de la viande de baleine ?;https://audio.tatoeba.org/sentences/spa/1068442.mp3;tu as mangé;has comido;1
1192101;¿Cuántas veces crees que has comido aquí?;Indicatif;Passé composé;comer;tú;Combien de fois penses-tu avoir mangé ici ?;https://audio.tatoeba.org/sentences/spa/1192101.mp3;tu as mangé;has comido;1
1359620;¿Qué has comido hoy?;Indicatif;Passé composé;comer;tú;Qu’as-tu mangé au déjeuner aujourd'hui ?;https://audio.tatoeba.org/sentences/spa/1359620.mp3;tu as mangé;has comido;1
1578769;¿Ya has comido pavo?;Indicatif;Passé composé;comer;tú;As-tu déjà mangé de la dinde ?;https://audio.tatoeba.org/sentences/spa/1578769.mp3;tu as mangé;has comido;1
1852437;No has comido mucho, ¿verdad?;Indicatif;Passé composé;comer;tú;Tu n'as pas beaucoup déjeuné, si ?;https://audio.tatoeba.org/sentences/spa/1852437.mp3;tu as mangé;has comido;1
2219442;¿Has comido alguna vez en este restaurante?;Indicatif;Passé composé;comer;tú;As-tu jamais mangé dans ce restaurant ?;https://audio.tatoeba.org/sentences/spa/2219442.mp3;tu as mangé;has comido;1
3698307;¿Alguna vez has probado la comida mexicana?;Indicatif;Passé composé;comer;tú;Tu as déjà mangé de la cuisine mexicaine ?;https://audio.tatoeba.org/sentences/spa/3698307.mp3;tu as mangé;has comido;1
4940979;¿Todavía no has comido?;Indicatif;Passé composé;comer;tú;N'avez-vous pas encore mangé ?;https://audio.tatoeba.org/sentences/spa/4940979.mp3;tu as mangé;has comido;1
6860257;¿Qué es lo más picante que has comido nunca?;Indicatif;Passé composé;comer;tú;Quelle est la chose la plus épicée que tu aies jamais mangée ?;https://audio.tatoeba.org/sentences/spa/6860257.mp3;tu as mangé;has comido;1
7262755;¿Ya lo has comido?;Indicatif;Passé composé;comer;tú;As-tu déjà mangé ?;https://audio.tatoeba.org/sentences/spa/7262755.mp3;tu as mangé;has comido;1
7872698;Parece como que has estado llorando.;Indicatif;Passé composé;comer;tú;On dirait que tu as pleuré.;https://audio.tatoeba.org/sentences/spa/7872698.mp3;tu as mangé;has comido;1
9017272;¿Has dado de comer al perro esta mañana?;Indicatif;Passé composé;comer;tú;As-tu nourri le chien ce matin ?;https://audio.tatoeba.org/sentences/spa/9017272.mp3;tu as mangé;has comido;1
1004729;¿Ya habéis comido?;Indicatif;Passé composé;comer;vosotros;As-tu déjà mangé ?;https://audio.tatoeba.org/sentences/spa/1004729.mp3;vous avez mangé;habéis comido;1
1831908;¿Habéis terminado de comer?;Indicatif;Passé composé;comer;vosotros;Avez-vous mangé ?;https://audio.tatoeba.org/sentences/spa/1831908.mp3;vous avez mangé;habéis comido;1
460894;Tengo hambre porque no he comido.;Indicatif;Passé composé;comer;yo;J'ai faim car je n'ai pas déjeuné.;https://audio.tatoeba.org/sentences/spa/460894.mp3;j'ai mangé;he comido;1
511172;Hoy no he comido.;Indicatif;Passé composé;comer;yo;Je n'ai pas déjeuné aujourd'hui.;https://audio.tatoeba.org/sentences/spa/511172.mp3;j'ai mangé;he comido;1
515922;He comido mucho esta semana.;Indicatif;Passé composé;comer;yo;J'ai beaucoup mangé cette semaine.;https://audio.tatoeba.org/sentences/spa/515922.mp3;j'ai mangé;he comido;1
573187;Todavía no he comido.;Indicatif;Passé composé;comer;yo;Je n'ai pas encore déjeuné.;https://audio.tatoeba.org/sentences/spa/573187.mp3;j'ai mangé;he comido;1
720475;Esta semana he comido mucho.;Indicatif;Passé composé;comer;yo;J'ai beaucoup mangé cette semaine.;https://audio.tatoeba.org/sentences/spa/720475.mp3;j'ai mangé;he comido;1
752261;Esta mañana, he comido pan con mantequilla.;Indicatif;Passé composé;comer;yo;Ce matin, j'ai mangé du pain beurré.;https://audio.tatoeba.org/sentences/spa/752261.mp3;j'ai mangé;he comido;1
940749;Hazlo como he dicho.;Indicatif;Passé composé;comer;yo;Fais-le ainsi que je l'ai dit.;https://audio.tatoeba.org/sentences/spa/940749.mp3;j'ai mangé;he comido;1
957612;He comido raviolis al vapor.;Indicatif;Passé composé;comer;yo;J'ai mangé des raviolis vapeur.;https://audio.tatoeba.org/sentences/spa/957612.mp3;j'ai mangé;he comido;1
967667;Me lo he comido porque tenía hambre.;Indicatif;Passé composé;comer;yo;Je l'ai mangé parce que j'avais faim.;https://audio.tatoeba.org/sentences/spa/967667.mp3;j'ai mangé;he comido;1
985703;Como no he desayunado, ahora tengo mucha hambre.;Indicatif;Passé composé;comer;yo;Comme je n'ai pas pris de petit déjeuner, j'ai très faim maintenant.;https://audio.tatoeba.org/sentences/spa/985703.mp3;j'ai mangé;he comido;1
1045251;He olvidado cómo se llama.;Indicatif;Passé composé;comer;yo;J'ai oublié son nom.;https://audio.tatoeba.org/sentences/spa/1045251.mp3;j'ai mangé;he comido;1
1116051;La mejor torta entre las que he comido hasta ahora es una que hizo mi mamá.;Indicatif;Passé composé;comer;yo;Les meilleurs gâteaux que je n'ai jamais mangés sont ceux que faisait ma mère.;https://audio.tatoeba.org/sentences/spa/1116051.mp3;j'ai mangé;he comido;1
1138813;He oído que una manera de estar sano es evitar comer cualquier alimento con ingredientes impronunciables.;Indicatif;Passé composé;comer;yo;J'ai entendu dire qu'une manière de rester en bonne santé est d'éviter de manger de la nourriture contenant des ingrédients imprononçables.;https://audio.tatoeba.org/sentences/spa/1138813.mp3;j'ai mangé;he comido;1
1174282;Te he comprado un lápiz como regalo de cumpleaños.;Indicatif;Passé composé;comer;yo;Je t'ai acheté un crayon comme cadeau d'anniversaire.;https://audio.tatoeba.org/sentences/spa/1174282.mp3;j'ai mangé;he comido;1
1192046;No he comido desde el desayuno, tengo hambre.;Indicatif;Passé composé;comer;yo;"Je n'ai rien mangé depuis le petit-déjeuner; j'ai faim.";https://audio.tatoeba.org/sentences/spa/1192046.mp3;j'ai mangé;he comido;1
1240462;Éste es el mejor pastel que he comido hasta ahora.;Indicatif;Passé composé;comer;yo;C'est le meilleur gâteau que j'ai jamais mangé.;https://audio.tatoeba.org/sentences/spa/1240462.mp3;j'ai mangé;he comido;1
1305650;No he comido comida francesa desde que dejé Francia.;Indicatif;Passé composé;comer;yo;Je n'ai pas consommé de nourriture française depuis que j'ai quitté la France.;https://audio.tatoeba.org/sentences/spa/1305650.mp3;j'ai mangé;he comido;1
1322557;Tengo bastante hambre porque no he comido desde esta mañana temprano.;Indicatif;Passé composé;comer;yo;J'ai assez faim parce que je n'ai pas mangé depuis tôt ce matin.;https://audio.tatoeba.org/sentences/spa/1322557.mp3;j'ai mangé;he comido;1
1322637;Creo que es hora de que me replantee cómo he estado viviendo.;Indicatif;Passé composé;comer;yo;Je pense qu'il est temps que je reconsidère la manière dont j'ai vécu.;https://audio.tatoeba.org/sentences/spa/1322637.mp3;j'ai mangé;he comido;1
1337835;He comido caviar.;Indicatif;Passé composé;comer;yo;J'ai mangé du caviar.;https://audio.tatoeba.org/sentences/spa/1337835.mp3;j'ai mangé;he comido;1
1337839;Sólo me he comido un trozo de pan.;Indicatif;Passé composé;comer;yo;Je n'ai mangé qu'un morceau de pain.;https://audio.tatoeba.org/sentences/spa/1337839.mp3;j'ai mangé;he comido;1
1565862;No he comido en varios días.;Indicatif;Passé composé;comer;yo;Je n'ai pas mangé depuis des jours.;https://audio.tatoeba.org/sentences/spa/1565862.mp3;j'ai mangé;he comido;1
1695994;Durante los últimos 10 años, he dado de comer a mi perro alimento seco para perros.;Indicatif;Passé composé;comer;yo;Pendant les dix dernières années, j'ai nourri mon chien avec des croquettes sèches.;https://audio.tatoeba.org/sentences/spa/1695994.mp3;j'ai mangé;he comido;1
1781292;Las mejores galletas que he comido en mi vida son las que me hizo tu madre.;Indicatif;Passé composé;comer;yo;Les meilleurs biscuits que j'ai mangés jusqu'à présent sont ceux que ta mère m'a confectionnés.;https://audio.tatoeba.org/sentences/spa/1781292.mp3;j'ai mangé;he comido;1
1831957;Ya he comido.;Indicatif;Passé composé;comer;yo;J'ai déjà mangé.;https://audio.tatoeba.org/sentences/spa/1831957.mp3;j'ai mangé;he comido;1
1845382;No he comido nada desde ayer.;Indicatif;Passé composé;comer;yo;Je n'ai rien mangé depuis hier.;https://audio.tatoeba.org/sentences/spa/1845382.mp3;j'ai mangé;he comido;1
1963022;No he comido nada desde esta mañana.;Indicatif;Passé composé;comer;yo;Je n'ai rien eu à manger depuis ce matin.;https://audio.tatoeba.org/sentences/spa/1963022.mp3;j'ai mangé;he comido;1
2077296;No he comido en cuatro días.;Indicatif;Passé composé;comer;yo;Je n'ai pas mangé de quatre jours.;https://audio.tatoeba.org/sentences/spa/2077296.mp3;j'ai mangé;he comido;1
2313079;No entiendo cómo he podido cometer semejante error.;Indicatif;Passé composé;comer;yo;Je ne comprends pas comment j'ai pu faire une telle erreur.;https://audio.tatoeba.org/sentences/spa/2313079.mp3;j'ai mangé;he comido;1
2409082;Me he comido tres trozos de tarta.;Indicatif;Passé composé;comer;yo;J'ai mangé trois morceaux de gâteau.;https://audio.tatoeba.org/sentences/spa/2409082.mp3;j'ai mangé;he comido;1
2747282;Nunca he visto nada como esto.;Indicatif;Passé composé;comer;yo;Je n'ai jamais rien vu de tel.;https://audio.tatoeba.org/sentences/spa/2747282.mp3;j'ai mangé;he comido;1
5165791;He comido.;Indicatif;Passé composé;comer;yo;Je mangeais.;https://audio.tatoeba.org/sentences/spa/5165791.mp3;j'ai mangé;he comido;1
5698798;Nunca he visto una habitación tan magnífica como ésta.;Indicatif;Passé composé;comer;yo;Je n’ai jamais vu de chambre aussi fastueuse.;https://audio.tatoeba.org/sentences/spa/5698798.mp3;j'ai mangé;he comido;1
6626413;No sé cómo he podido estar tan ciego.;Indicatif;Passé composé;comer;yo;Je ne sais pas comment j'ai pu être aussi aveugle.;https://audio.tatoeba.org/sentences/spa/6626413.mp3;j'ai mangé;he comido;1
6843395;Nunca he visto a nadie como tú.;Indicatif;Passé composé;comer;yo;Je n'ai jamais vu quelqu'un comme toi.;https://audio.tatoeba.org/sentences/spa/6843395.mp3;j'ai mangé;he comido;1
7234035;No he comido desde ayer.;Indicatif;Passé composé;comer;yo;Je n'ai pas mangé depuis hier.;https://audio.tatoeba.org/sentences/spa/7234035.mp3;j'ai mangé;he comido;1
7645385;He terminado de comer.;Indicatif;Passé composé;comer;yo;J'ai fini de manger.;https://audio.tatoeba.org/sentences/spa/7645385.mp3;j'ai mangé;he comido;1
10056760;Ya he comido bastante.;Indicatif;Passé composé;comer;yo;J'ai déjà assez mangé.;https://audio.tatoeba.org/sentences/spa/10056760.mp3;j'ai mangé;he comido;1
10056761;Ya he comido lo suficiente.;Indicatif;Passé composé;comer;yo;J'ai déjà assez mangé.;https://audio.tatoeba.org/sentences/spa/10056761.mp3;j'ai mangé;he comido;1
445880;Había suficiente comida para todos nosotros.;Indicatif;Plus-que-parfait;comer;él;Il y avait assez à manger pour nous tous.;https://audio.tatoeba.org/sentences/spa/445880.mp3;il avait mangé;había comido;1
751841;Nunca había probado la comida china.;Indicatif;Plus-que-parfait;comer;él;Je n'ai jamais goûté la nourriture chinoise auparavant.;https://audio.tatoeba.org/sentences/spa/751841.mp3;il avait mangé;había comido;1
1507157;Lo saludó alegremente como siempre lo había hecho.;Indicatif;Plus-que-parfait;comer;él;Elle le salua gaiement, comme à son habitude.;https://audio.tatoeba.org/sentences/spa/1507157.mp3;il avait mangé;había comido;1
2349542;No había ningún lugar para comprar comida.;Indicatif;Plus-que-parfait;comer;él;Il n'y avait nulle part où acheter de la nourriture.;https://audio.tatoeba.org/sentences/spa/2349542.mp3;il avait mangé;había comido;1
2704263;El terremoto provocó un gran desastre en la región, como jamás antes había conocido.;Indicatif;Plus-que-parfait;comer;él;Le tremblement de terre provoqua un grand désastre comme le pays n'en avait jusque-là pas connu.;https://audio.tatoeba.org/sentences/spa/2704263.mp3;il avait mangé;había comido;1
611112;Nunca antes había tomado comida china.;Indicatif;Plus-que-parfait;comer;yo;Je n'ai jamais goûté la nourriture chinoise auparavant.;https://audio.tatoeba.org/sentences/spa/611112.mp3;j'avais mangé;había comido;1
751841;Nunca había probado la comida china.;Indicatif;Plus-que-parfait;comer;yo;Je n'ai jamais goûté la nourriture chinoise auparavant.;https://audio.tatoeba.org/sentences/spa/751841.mp3;j'avais mangé;había comido;1
1135705;En esa época, en las cortes de los señores feudales había muchos escolásticos dedicados a la discriminación, tales como los seguidores de Xun Kuang, quienes escribieron libros que fueron difundidos a través de todo el mundo.;Indicatif;Plus-que-parfait;comer;yo;À cette époque, dans les cours des seigneurs féodaux, il y avait de nombreux érudits qui s'étaient engagés en faveur de la discrimination, tels que les disciples de Xun Kuang qui écrivirent un livre qui fut disséminé à travers le monde entier.;https://audio.tatoeba.org/sentences/spa/1135705.mp3;j'avais mangé;había comido;1
1831922;Me comí media manzana antes de darme cuenta de que había un gusano dentro.;Indicatif;Plus-que-parfait;comer;yo;J'ai mangé la moitié de la pomme avant de m'apercevoir qu'elle contenait un ver.;https://audio.tatoeba.org/sentences/spa/1831922.mp3;j'avais mangé;había comido;1
432138;¡Cómo come!;Indicatif;Présent;comer;él;Comme il mange !;https://audio.tatoeba.org/sentences/spa/432138.mp3;il mange;come;1
452959;Él come mucho.;Indicatif;Présent;comer;él;Il mange beaucoup.;https://audio.tatoeba.org/sentences/spa/452959.mp3;il mange;come;1
482075;¿Usted come pimiento?;Indicatif;Présent;comer;él;Mangez-vous du piment ?;https://audio.tatoeba.org/sentences/spa/482075.mp3;il mange;come;1
